"Recipe Name (ENG)","Your name","Day","Meal Name","Person Nr","Moment of the meal","Plate Size (cm)","Empty plate weight (g)","Post meal weight (g)","Leftovers weight (g)","Recipe Name","Recipe Link","PhotoName","servings","ingredient_1","ingredient_2","ingredient_3","ingredient_4","ingredient_5","ingredient_6","ingredient_7","ingredient_8","ingredient_9","ingredient_10","ingredient_11","ingredient_12","ingredient_13","ingredient_14","ingredient_15","ingredientsQuantity","ingredients","TotalGramsSelf_char","TotalGramsSelf"
"Breaded white cheese with rosemary","Erica","Wednesday","Kaas","1","1","26.7","722","996","274","Gepaneerde witte kaas met rozemarijn","https://www.hellofresh.nl/recipes/gepaneerde-witte-kaas-met-krieltjes-658d7d8df9d1ffb514ddb5cc","Erica_Kaas_1_1.jpg","2","200g White Cheese","25g Breadcrumbs","400g potatoes","1  Garlic cloves","1  Tomato","80g Onion Chutney","1  Onion","60g Arugula","1  Zucchini","60ml Water","1 tablespoon honey","3 tablespoon olive oil","50 grams of flour","1 tablespoon vinegar","1 tablespoon butter","200g White Cheese; 25g Breadcrumbs; 400g potatoes; 1  Garlic cloves; 1  Tomato; 80g Onion Chutney; 1  Onion; 60g Arugula; 1  Zucchini; 60ml Water; 1 tablespoon honey; 3 tablespoon olive oil; 50 grams of flour; 1 tablespoon vinegar; 1 tablespoon butter"," White Cheese; Breadcrumbs;  potatoes;  Garlic ;  Tomato; Onion Chutney;  Onion; Arugula;  Zucchini; Water;  honey;  olive oil;    flour;  vinegar;  butter","274",274
"Breaded white cheese with rosemary","Erica","Wednesday","Kaas","2","1","26.7","691","1004","313","Gepaneerde witte kaas met rozemarijn","https://www.hellofresh.nl/recipes/gepaneerde-witte-kaas-met-krieltjes-658d7d8df9d1ffb514ddb5cc","Erica_Kaas_2_1.jpg","2","200g White Cheese","25g Breadcrumbs","400g potatoes","1  Garlic cloves","1  Tomato","80g Onion Chutney","1  Onion","60g Arugula","1  Zucchini","60ml Water","1 tablespoon honey","3 tablespoon olive oil","50 grams of flour","1 tablespoon vinegar","1 tablespoon butter","200g White Cheese; 25g Breadcrumbs; 400g potatoes; 1  Garlic cloves; 1  Tomato; 80g Onion Chutney; 1  Onion; 60g Arugula; 1  Zucchini; 60ml Water; 1 tablespoon honey; 3 tablespoon olive oil; 50 grams of flour; 1 tablespoon vinegar; 1 tablespoon butter"," White Cheese; Breadcrumbs;  potatoes;  Garlic ;  Tomato; Onion Chutney;  Onion; Arugula;  Zucchini; Water;  honey;  olive oil;    flour;  vinegar;  butter","313",313
"Breaded white cheese with rosemary","Erica","Wednesday","Kaas","2","2","26.7","691","843","152","Gepaneerde witte kaas met rozemarijn","https://www.hellofresh.nl/recipes/gepaneerde-witte-kaas-met-krieltjes-658d7d8df9d1ffb514ddb5cc","Erica_Kaas_2_2.jpg","2","200g White Cheese","25g Breadcrumbs","400g potatoes","1  Garlic cloves","1  Tomato","80g Onion Chutney","1  Onion","60g Arugula","1  Zucchini","60ml Water","1 tablespoon honey","3 tablespoon olive oil","50 grams of flour","1 tablespoon vinegar","1 tablespoon butter","200g White Cheese; 25g Breadcrumbs; 400g potatoes; 1  Garlic cloves; 1  Tomato; 80g Onion Chutney; 1  Onion; 60g Arugula; 1  Zucchini; 60ml Water; 1 tablespoon honey; 3 tablespoon olive oil; 50 grams of flour; 1 tablespoon vinegar; 1 tablespoon butter"," White Cheese; Breadcrumbs;  potatoes;  Garlic ;  Tomato; Onion Chutney;  Onion; Arugula;  Zucchini; Water;  honey;  olive oil;    flour;  vinegar;  butter","152",152
"Breaded white cheese with rosemary","Erica","Wednesday","Kaas","2","3","26.7","691","691","0","Gepaneerde witte kaas met rozemarijn","https://www.hellofresh.nl/recipes/gepaneerde-witte-kaas-met-krieltjes-658d7d8df9d1ffb514ddb5cc","Erica_Kaas_2_3.jpg","2","200g White Cheese","25g Breadcrumbs","400g potatoes","1  Garlic cloves","1  Tomato","80g Onion Chutney","1  Onion","60g Arugula","1  Zucchini","60ml Water","1 tablespoon honey","3 tablespoon olive oil","50 grams of flour","1 tablespoon vinegar","1 tablespoon butter","200g White Cheese; 25g Breadcrumbs; 400g potatoes; 1  Garlic cloves; 1  Tomato; 80g Onion Chutney; 1  Onion; 60g Arugula; 1  Zucchini; 60ml Water; 1 tablespoon honey; 3 tablespoon olive oil; 50 grams of flour; 1 tablespoon vinegar; 1 tablespoon butter"," White Cheese; Breadcrumbs;  potatoes;  Garlic ;  Tomato; Onion Chutney;  Onion; Arugula;  Zucchini; Water;  honey;  olive oil;    flour;  vinegar;  butter","0",0
"Breaded white cheese with rosemary","Erica","Wednesday","Kaas","3","1","26.7","734","1044","310","Gepaneerde witte kaas met rozemarijn","https://www.hellofresh.nl/recipes/gepaneerde-witte-kaas-met-krieltjes-658d7d8df9d1ffb514ddb5cc","Erica_Kaas_3_1.jpg","2","200g White Cheese","25g Breadcrumbs","400g potatoes","1  Garlic cloves","1  Tomato","80g Onion Chutney","1  Onion","60g Arugula","1  Zucchini","60ml Water","1 tablespoon honey","3 tablespoon olive oil","50 grams of flour","1 tablespoon vinegar","1 tablespoon butter","200g White Cheese; 25g Breadcrumbs; 400g potatoes; 1  Garlic cloves; 1  Tomato; 80g Onion Chutney; 1  Onion; 60g Arugula; 1  Zucchini; 60ml Water; 1 tablespoon honey; 3 tablespoon olive oil; 50 grams of flour; 1 tablespoon vinegar; 1 tablespoon butter"," White Cheese; Breadcrumbs;  potatoes;  Garlic ;  Tomato; Onion Chutney;  Onion; Arugula;  Zucchini; Water;  honey;  olive oil;    flour;  vinegar;  butter","310",310
"Breaded white cheese with rosemary","Erica","Wednesday","Kaas","1","2","26.7","722","879","157","Gepaneerde witte kaas met rozemarijn","https://www.hellofresh.nl/recipes/gepaneerde-witte-kaas-met-krieltjes-658d7d8df9d1ffb514ddb5cc","Erica_Kaas_1_2.jpg","2","200g White Cheese","25g Breadcrumbs","400g potatoes","1  Garlic cloves","1  Tomato","80g Onion Chutney","1  Onion","60g Arugula","1  Zucchini","60ml Water","1 tablespoon honey","3 tablespoon olive oil","50 grams of flour","1 tablespoon vinegar","1 tablespoon butter","200g White Cheese; 25g Breadcrumbs; 400g potatoes; 1  Garlic cloves; 1  Tomato; 80g Onion Chutney; 1  Onion; 60g Arugula; 1  Zucchini; 60ml Water; 1 tablespoon honey; 3 tablespoon olive oil; 50 grams of flour; 1 tablespoon vinegar; 1 tablespoon butter"," White Cheese; Breadcrumbs;  potatoes;  Garlic ;  Tomato; Onion Chutney;  Onion; Arugula;  Zucchini; Water;  honey;  olive oil;    flour;  vinegar;  butter","157",157
"Breaded white cheese with rosemary","Erica","Wednesday","Kaas","1","3","26.7","722","722","0","Gepaneerde witte kaas met rozemarijn","https://www.hellofresh.nl/recipes/gepaneerde-witte-kaas-met-krieltjes-658d7d8df9d1ffb514ddb5cc","Erica_Kaas_1_3.jpg","2","200g White Cheese","25g Breadcrumbs","400g potatoes","1  Garlic cloves","1  Tomato","80g Onion Chutney","1  Onion","60g Arugula","1  Zucchini","60ml Water","1 tablespoon honey","3 tablespoon olive oil","50 grams of flour","1 tablespoon vinegar","1 tablespoon butter","200g White Cheese; 25g Breadcrumbs; 400g potatoes; 1  Garlic cloves; 1  Tomato; 80g Onion Chutney; 1  Onion; 60g Arugula; 1  Zucchini; 60ml Water; 1 tablespoon honey; 3 tablespoon olive oil; 50 grams of flour; 1 tablespoon vinegar; 1 tablespoon butter"," White Cheese; Breadcrumbs;  potatoes;  Garlic ;  Tomato; Onion Chutney;  Onion; Arugula;  Zucchini; Water;  honey;  olive oil;    flour;  vinegar;  butter","0",0
"Breaded white cheese with rosemary","Erica","Wednesday","Kaas","3","2","26.7","734","967","233","Gepaneerde witte kaas met rozemarijn","https://www.hellofresh.nl/recipes/gepaneerde-witte-kaas-met-krieltjes-658d7d8df9d1ffb514ddb5cc","Erica_Kaas_3_2.jpg","2","200g White Cheese","25g Breadcrumbs","400g potatoes","1  Garlic cloves","1  Tomato","80g Onion Chutney","1  Onion","60g Arugula","1  Zucchini","60ml Water","1 tablespoon honey","3 tablespoon olive oil","50 grams of flour","1 tablespoon vinegar","1 tablespoon butter","200g White Cheese; 25g Breadcrumbs; 400g potatoes; 1  Garlic cloves; 1  Tomato; 80g Onion Chutney; 1  Onion; 60g Arugula; 1  Zucchini; 60ml Water; 1 tablespoon honey; 3 tablespoon olive oil; 50 grams of flour; 1 tablespoon vinegar; 1 tablespoon butter"," White Cheese; Breadcrumbs;  potatoes;  Garlic ;  Tomato; Onion Chutney;  Onion; Arugula;  Zucchini; Water;  honey;  olive oil;    flour;  vinegar;  butter","233",233
"Breaded white cheese with rosemary","Erica","Wednesday","Kaas","3","3","26.7","734","738","4","Gepaneerde witte kaas met rozemarijn","https://www.hellofresh.nl/recipes/gepaneerde-witte-kaas-met-krieltjes-658d7d8df9d1ffb514ddb5cc","Erica_Kaas_3_3.jpg","2","200g White Cheese","25g Breadcrumbs","400g potatoes","1  Garlic cloves","1  Tomato","80g Onion Chutney","1  Onion","60g Arugula","1  Zucchini","60ml Water","1 tablespoon honey","3 tablespoon olive oil","50 grams of flour","1 tablespoon vinegar","1 tablespoon butter","200g White Cheese; 25g Breadcrumbs; 400g potatoes; 1  Garlic cloves; 1  Tomato; 80g Onion Chutney; 1  Onion; 60g Arugula; 1  Zucchini; 60ml Water; 1 tablespoon honey; 3 tablespoon olive oil; 50 grams of flour; 1 tablespoon vinegar; 1 tablespoon butter"," White Cheese; Breadcrumbs;  potatoes;  Garlic ;  Tomato; Onion Chutney;  Onion; Arugula;  Zucchini; Water;  honey;  olive oil;    flour;  vinegar;  butter","4",4
"chicken with apricot curry sauce served with baked potatoes and fluffy rice","Nina","45582","ChickenCranberryCurrySauce","1","50-30%","26.6","575","669","94","chicken with apricot curry sauce served with baked potatoes and fluffy rice","https://www.hellofresh.de/recipes/hahnchen-mit-aprikosen-curry-sosse-65d86c68700746d2fe51fc64","Nina_Day1_Chicken1_50.jpg","4","500g Chicken Breast","12 Garlic cloves","300g Rice","2  Shallot","8  Carrot","10g Parsley","40g Apricots","100g Apricot Chutney","900ml Water","6 tablespoon  oil","4 tablespoon butter","8g spices mix",NA,NA,NA,"500g Chicken Breast; 12 Garlic cloves; 300g Rice; 2  Shallot; 8  Carrot; 10g Parsley; 40g Apricots; 100g Apricot Chutney; 900ml Water; 6 tablespoon  oil; 4 tablespoon butter; 8g spices mix"," Chicken Breast;  Garlic ;  Rice;  Shallot;  Carrot; Parsley; Apricots;  Apricot Chutney; Water;   oil;  butter;  spices mix","94",94
"chicken with apricot curry sauce served with baked potatoes and fluffy rice","Nina","45582","ChickenCranberryCurrySauce","1","30-10%","26.6","575","610","35","chicken with apricot curry sauce served with baked potatoes and fluffy rice","https://www.hellofresh.de/recipes/hahnchen-mit-aprikosen-curry-sosse-65d86c68700746d2fe51fc65","Nina_Day1_Chicken1_30.jpg","4","500g Chicken Breast","12 Garlic cloves","300g Rice","2  Shallot","8  Carrot","10g Parsley","40g Apricots","100g Apricot Chutney","900ml Water","6 tablespoon  oil","4 tablespoon butter","8g spices mix",NA,NA,NA,"500g Chicken Breast; 12 Garlic cloves; 300g Rice; 2  Shallot; 8  Carrot; 10g Parsley; 40g Apricots; 100g Apricot Chutney; 900ml Water; 6 tablespoon  oil; 4 tablespoon butter; 8g spices mix"," Chicken Breast;  Garlic ;  Rice;  Shallot;  Carrot; Parsley; Apricots;  Apricot Chutney; Water;   oil;  butter;  spices mix","35",35
"chicken with apricot curry sauce served with baked potatoes and fluffy rice","Nina","45582","ChickenCranberryCurrySauce","1","finished","26.6","575","575","0","chicken with apricot curry sauce served with baked potatoes and fluffy rice","https://www.hellofresh.de/recipes/hahnchen-mit-aprikosen-curry-sosse-65d86c68700746d2fe51fc66","Nina_Day1_Chicken1_0.jpg","4","500g Chicken Breast","12 Garlic cloves","300g Rice","2  Shallot","8  Carrot","10g Parsley","40g Apricots","100g Apricot Chutney","900ml Water","6 tablespoon  oil","4 tablespoon butter","8g spices mix",NA,NA,NA,"500g Chicken Breast; 12 Garlic cloves; 300g Rice; 2  Shallot; 8  Carrot; 10g Parsley; 40g Apricots; 100g Apricot Chutney; 900ml Water; 6 tablespoon  oil; 4 tablespoon butter; 8g spices mix"," Chicken Breast;  Garlic ;  Rice;  Shallot;  Carrot; Parsley; Apricots;  Apricot Chutney; Water;   oil;  butter;  spices mix","0",0
"chicken with apricot curry sauce served with baked potatoes and fluffy rice","Nina","45582","ChickenCranberryCurrySauce","2","50-30%","26.6","661","799","138","chicken with apricot curry sauce served with baked potatoes and fluffy rice","https://www.hellofresh.de/recipes/hahnchen-mit-aprikosen-curry-sosse-65d86c68700746d2fe51fc67","Nina_Day1_Chicken2_50.jpg","4","500g Chicken Breast","12 Garlic cloves","300g Rice","2  Shallot","8  Carrot","10g Parsley","40g Apricots","100g Apricot Chutney","900ml Water","6 tablespoon  oil","4 tablespoon butter","8g spices mix",NA,NA,NA,"500g Chicken Breast; 12 Garlic cloves; 300g Rice; 2  Shallot; 8  Carrot; 10g Parsley; 40g Apricots; 100g Apricot Chutney; 900ml Water; 6 tablespoon  oil; 4 tablespoon butter; 8g spices mix"," Chicken Breast;  Garlic ;  Rice;  Shallot;  Carrot; Parsley; Apricots;  Apricot Chutney; Water;   oil;  butter;  spices mix","138",138
"chicken with apricot curry sauce served with baked potatoes and fluffy rice","Nina","45582","ChickenCranberryCurrySauce","2","30-10%","26.6","661","695","34","chicken with apricot curry sauce served with baked potatoes and fluffy rice","https://www.hellofresh.de/recipes/hahnchen-mit-aprikosen-curry-sosse-65d86c68700746d2fe51fc68","Nina_Day1_Chicken2_30.jpg","4","500g Chicken Breast","12 Garlic cloves","300g Rice","2  Shallot","8  Carrot","10g Parsley","40g Apricots","100g Apricot Chutney","900ml Water","6 tablespoon  oil","4 tablespoon butter","8g spices mix",NA,NA,NA,"500g Chicken Breast; 12 Garlic cloves; 300g Rice; 2  Shallot; 8  Carrot; 10g Parsley; 40g Apricots; 100g Apricot Chutney; 900ml Water; 6 tablespoon  oil; 4 tablespoon butter; 8g spices mix"," Chicken Breast;  Garlic ;  Rice;  Shallot;  Carrot; Parsley; Apricots;  Apricot Chutney; Water;   oil;  butter;  spices mix","34",34
"chicken with apricot curry sauce served with baked potatoes and fluffy rice","Nina","45582","ChickenCranberryCurrySauce","2","finished","26.6","661","661","0","chicken with apricot curry sauce served with baked potatoes and fluffy rice","https://www.hellofresh.de/recipes/hahnchen-mit-aprikosen-curry-sosse-65d86c68700746d2fe51fc69","Nina_Day1_Chicken2_0.jpg","4","500g Chicken Breast","12 Garlic cloves","300g Rice","2  Shallot","8  Carrot","10g Parsley","40g Apricots","100g Apricot Chutney","900ml Water","6 tablespoon  oil","4 tablespoon butter","8g spices mix",NA,NA,NA,"500g Chicken Breast; 12 Garlic cloves; 300g Rice; 2  Shallot; 8  Carrot; 10g Parsley; 40g Apricots; 100g Apricot Chutney; 900ml Water; 6 tablespoon  oil; 4 tablespoon butter; 8g spices mix"," Chicken Breast;  Garlic ;  Rice;  Shallot;  Carrot; Parsley; Apricots;  Apricot Chutney; Water;   oil;  butter;  spices mix","0",0
"chicken with apricot curry sauce served with baked potatoes and fluffy rice","Nina","45582","ChickenCranberryCurrySauce","3","50-30%","25","626","779","153","chicken with apricot curry sauce served with baked potatoes and fluffy rice","https://www.hellofresh.de/recipes/hahnchen-mit-aprikosen-curry-sosse-65d86c68700746d2fe51fc70","Nina_Day1_Chicken3_50.jpg","4","500g Chicken Breast","12 Garlic cloves","300g Rice","2  Shallot","8  Carrot","10g Parsley","40g Apricots","100g Apricot Chutney","900ml Water","6 tablespoon  oil","4 tablespoon butter","8g spices mix",NA,NA,NA,"500g Chicken Breast; 12 Garlic cloves; 300g Rice; 2  Shallot; 8  Carrot; 10g Parsley; 40g Apricots; 100g Apricot Chutney; 900ml Water; 6 tablespoon  oil; 4 tablespoon butter; 8g spices mix"," Chicken Breast;  Garlic ;  Rice;  Shallot;  Carrot; Parsley; Apricots;  Apricot Chutney; Water;   oil;  butter;  spices mix","153",153
"chicken with apricot curry sauce served with baked potatoes and fluffy rice","Nina","45582","ChickenCranberryCurrySauce","4","50-30%","26.6","578","748","170","chicken with apricot curry sauce served with baked potatoes and fluffy rice","https://www.hellofresh.de/recipes/hahnchen-mit-aprikosen-curry-sosse-65d86c68700746d2fe51fc73","Nina_Day1_Chicken4_50.jpg","4","500g Chicken Breast","12 Garlic cloves","300g Rice","2  Shallot","8  Carrot","10g Parsley","40g Apricots","100g Apricot Chutney","900ml Water","6 tablespoon  oil","4 tablespoon butter","8g spices mix",NA,NA,NA,"500g Chicken Breast; 12 Garlic cloves; 300g Rice; 2  Shallot; 8  Carrot; 10g Parsley; 40g Apricots; 100g Apricot Chutney; 900ml Water; 6 tablespoon  oil; 4 tablespoon butter; 8g spices mix"," Chicken Breast;  Garlic ;  Rice;  Shallot;  Carrot; Parsley; Apricots;  Apricot Chutney; Water;   oil;  butter;  spices mix","170",170
